year,month,scope,rainfall_mm,source
1992,3,carbon_project_zone,403.8720,UCSB-CHG/CHIRPS/DAILY
1992,4,carbon_project_zone,269.7052,UCSB-CHG/CHIRPS/DAILY
1992,5,carbon_project_zone,269.6587,UCSB-CHG/CHIRPS/DAILY
1992,6,carbon_project_zone,114.5177,UCSB-CHG/CHIRPS/DAILY
1992,7,carbon_project_zone,146.9911,UCSB-CHG/CHIRPS/DAILY
1992,8,carbon_project_zone,104.6280,UCSB-CHG/CHIRPS/DAILY
1992,9,carbon_project_zone,235.0770,UCSB-CHG/CHIRPS/DAILY
1992,10,carbon_project_zone,268.8532,UCSB-CHG/CHIRPS/DAILY
1992,11,carbon_project_zone,289.6928,UCSB-CHG/CHIRPS/DAILY
1992,12,carbon_project_zone,306.8176,UCSB-CHG/CHIRPS/DAILY
1993,1,carbon_project_zone,196.2985,UCSB-CHG/CHIRPS/DAILY
1993,2,carbon_project_zone,231.1254,UCSB-CHG/CHIRPS/DAILY
1993,3,carbon_project_zone,349.8669,UCSB-CHG/CHIRPS/DAILY
1993,4,carbon_project_zone,286.7959,UCSB-CHG/CHIRPS/DAILY
1993,5,carbon_project_zone,418.9390,UCSB-CHG/CHIRPS/DAILY
1993,6,carbon_project_zone,282.7874,UCSB-CHG/CHIRPS/DAILY
1993,7,carbon_project_zone,98.4862,UCSB-CHG/CHIRPS/DAILY
1993,8,carbon_project_zone,47.7335,UCSB-CHG/CHIRPS/DAILY
1993,9,carbon_project_zone,125.9697,UCSB-CHG/CHIRPS/DAILY
1993,10,carbon_project_zone,196.9700,UCSB-CHG/CHIRPS/DAILY
1993,11,carbon_project_zone,300.8232,UCSB-CHG/CHIRPS/DAILY
1993,12,carbon_project_zone,237.3148,UCSB-CHG/CHIRPS/DAILY
1994,1,carbon_project_zone,272.2002,UCSB-CHG/CHIRPS/DAILY
1994,2,carbon_project_zone,269.6913,UCSB-CHG/CHIRPS/DAILY
1994,3,carbon_project_zone,413.1979,UCSB-CHG/CHIRPS/DAILY
1994,4,carbon_project_zone,262.5776,UCSB-CHG/CHIRPS/DAILY
1994,5,carbon_project_zone,124.6847,UCSB-CHG/CHIRPS/DAILY
1994,6,carbon_project_zone,224.8276,UCSB-CHG/CHIRPS/DAILY
1994,7,carbon_project_zone,18.4168,UCSB-CHG/CHIRPS/DAILY
1994,8,carbon_project_zone,92.6501,UCSB-CHG/CHIRPS/DAILY
1994,9,carbon_project_zone,12.8569,UCSB-CHG/CHIRPS/DAILY
1994,10,carbon_project_zone,158.5383,UCSB-CHG/CHIRPS/DAILY
1994,11,carbon_project_zone,251.4053,UCSB-CHG/CHIRPS/DAILY
1994,12,carbon_project_zone,291.9863,UCSB-CHG/CHIRPS/DAILY
1995,1,carbon_project_zone,321.4665,UCSB-CHG/CHIRPS/DAILY
1995,2,carbon_project_zone,249.7345,UCSB-CHG/CHIRPS/DAILY
1995,3,carbon_project_zone,311.7685,UCSB-CHG/CHIRPS/DAILY
1995,4,carbon_project_zone,261.8591,UCSB-CHG/CHIRPS/DAILY
1995,5,carbon_project_zone,250.5968,UCSB-CHG/CHIRPS/DAILY
1995,6,carbon_project_zone,272.7506,UCSB-CHG/CHIRPS/DAILY
1995,7,carbon_project_zone,173.8574,UCSB-CHG/CHIRPS/DAILY
1995,8,carbon_project_zone,58.5508,UCSB-CHG/CHIRPS/DAILY
1995,9,carbon_project_zone,102.3428,UCSB-CHG/CHIRPS/DAILY
1995,10,carbon_project_zone,221.9816,UCSB-CHG/CHIRPS/DAILY
1995,11,carbon_project_zone,295.2709,UCSB-CHG/CHIRPS/DAILY
1995,12,carbon_project_zone,303.0728,UCSB-CHG/CHIRPS/DAILY
1996,1,carbon_project_zone,289.8423,UCSB-CHG/CHIRPS/DAILY
1996,2,carbon_project_zone,236.4501,UCSB-CHG/CHIRPS/DAILY
1996,3,carbon_project_zone,374.4181,UCSB-CHG/CHIRPS/DAILY
1996,4,carbon_project_zone,158.2223,UCSB-CHG/CHIRPS/DAILY
1996,5,carbon_project_zone,81.4291,UCSB-CHG/CHIRPS/DAILY
1996,6,carbon_project_zone,244.0716,UCSB-CHG/CHIRPS/DAILY
1996,7,carbon_project_zone,75.5759,UCSB-CHG/CHIRPS/DAILY
1996,8,carbon_project_zone,293.7138,UCSB-CHG/CHIRPS/DAILY
1996,9,carbon_project_zone,128.4300,UCSB-CHG/CHIRPS/DAILY
1996,10,carbon_project_zone,420.4939,UCSB-CHG/CHIRPS/DAILY
1996,11,carbon_project_zone,216.1934,UCSB-CHG/CHIRPS/DAILY
1996,12,carbon_project_zone,290.8536,UCSB-CHG/CHIRPS/DAILY
1997,1,carbon_project_zone,211.6757,UCSB-CHG/CHIRPS/DAILY
1997,2,carbon_project_zone,179.5390,UCSB-CHG/CHIRPS/DAILY
1997,3,carbon_project_zone,147.6412,UCSB-CHG/CHIRPS/DAILY
1997,4,carbon_project_zone,343.4130,UCSB-CHG/CHIRPS/DAILY
1997,5,carbon_project_zone,82.2133,UCSB-CHG/CHIRPS/DAILY
1997,6,carbon_project_zone,24.5724,UCSB-CHG/CHIRPS/DAILY
1997,7,carbon_project_zone,66.2217,UCSB-CHG/CHIRPS/DAILY
1997,8,carbon_project_zone,14.8861,UCSB-CHG/CHIRPS/DAILY
1997,9,carbon_project_zone,6.2114,UCSB-CHG/CHIRPS/DAILY
1997,10,carbon_project_zone,51.6301,UCSB-CHG/CHIRPS/DAILY
1997,11,carbon_project_zone,209.1383,UCSB-CHG/CHIRPS/DAILY
1997,12,carbon_project_zone,295.9895,UCSB-CHG/CHIRPS/DAILY
1998,1,carbon_project_zone,201.0409,UCSB-CHG/CHIRPS/DAILY
1998,2,carbon_project_zone,251.5300,UCSB-CHG/CHIRPS/DAILY
1998,3,carbon_project_zone,304.1421,UCSB-CHG/CHIRPS/DAILY
1998,4,carbon_project_zone,261.8324,UCSB-CHG/CHIRPS/DAILY
1998,5,carbon_project_zone,280.1405,UCSB-CHG/CHIRPS/DAILY
1998,6,carbon_project_zone,352.2478,UCSB-CHG/CHIRPS/DAILY
1998,7,carbon_project_zone,297.0326,UCSB-CHG/CHIRPS/DAILY
1998,8,carbon_project_zone,243.2670,UCSB-CHG/CHIRPS/DAILY
1998,9,carbon_project_zone,231.3862,UCSB-CHG/CHIRPS/DAILY
1998,10,carbon_project_zone,260.2955,UCSB-CHG/CHIRPS/DAILY
1998,11,carbon_project_zone,280.2248,UCSB-CHG/CHIRPS/DAILY
1998,12,carbon_project_zone,239.6165,UCSB-CHG/CHIRPS/DAILY
1999,1,carbon_project_zone,331.0903,UCSB-CHG/CHIRPS/DAILY
1999,2,carbon_project_zone,304.1475,UCSB-CHG/CHIRPS/DAILY
1999,3,carbon_project_zone,226.7530,UCSB-CHG/CHIRPS/DAILY
1999,4,carbon_project_zone,270.5851,UCSB-CHG/CHIRPS/DAILY
1999,5,carbon_project_zone,295.3953,UCSB-CHG/CHIRPS/DAILY
1999,6,carbon_project_zone,187.5355,UCSB-CHG/CHIRPS/DAILY
1999,7,carbon_project_zone,188.9302,UCSB-CHG/CHIRPS/DAILY
1999,8,carbon_project_zone,139.0406,UCSB-CHG/CHIRPS/DAILY
1999,9,carbon_project_zone,167.1903,UCSB-CHG/CHIRPS/DAILY
1999,10,carbon_project_zone,443.1252,UCSB-CHG/CHIRPS/DAILY
1999,11,carbon_project_zone,259.6719,UCSB-CHG/CHIRPS/DAILY
1999,12,carbon_project_zone,321.8862,UCSB-CHG/CHIRPS/DAILY
2000,1,carbon_project_zone,310.5324,UCSB-CHG/CHIRPS/DAILY
2000,2,carbon_project_zone,246.0302,UCSB-CHG/CHIRPS/DAILY
2000,3,carbon_project_zone,351.4487,UCSB-CHG/CHIRPS/DAILY
2000,4,carbon_project_zone,281.5721,UCSB-CHG/CHIRPS/DAILY
2000,5,carbon_project_zone,236.6304,UCSB-CHG/CHIRPS/DAILY
2000,6,carbon_project_zone,258.1571,UCSB-CHG/CHIRPS/DAILY
2000,7,carbon_project_zone,122.6090,UCSB-CHG/CHIRPS/DAILY
2000,8,carbon_project_zone,231.2235,UCSB-CHG/CHIRPS/DAILY
2000,9,carbon_project_zone,196.1340,UCSB-CHG/CHIRPS/DAILY
2000,10,carbon_project_zone,242.8050,UCSB-CHG/CHIRPS/DAILY
2000,11,carbon_project_zone,304.3002,UCSB-CHG/CHIRPS/DAILY
2000,12,carbon_project_zone,296.8461,UCSB-CHG/CHIRPS/DAILY
2001,1,carbon_project_zone,244.1352,UCSB-CHG/CHIRPS/DAILY
2001,2,carbon_project_zone,189.0958,UCSB-CHG/CHIRPS/DAILY
2001,3,carbon_project_zone,336.7588,UCSB-CHG/CHIRPS/DAILY
2001,4,carbon_project_zone,336.9805,UCSB-CHG/CHIRPS/DAILY
2001,5,carbon_project_zone,278.6934,UCSB-CHG/CHIRPS/DAILY
2001,6,carbon_project_zone,210.3249,UCSB-CHG/CHIRPS/DAILY
2001,7,carbon_project_zone,132.1623,UCSB-CHG/CHIRPS/DAILY
2001,8,carbon_project_zone,19.8714,UCSB-CHG/CHIRPS/DAILY
2001,9,carbon_project_zone,236.6569,UCSB-CHG/CHIRPS/DAILY
2001,10,carbon_project_zone,359.4747,UCSB-CHG/CHIRPS/DAILY
2001,11,carbon_project_zone,240.9791,UCSB-CHG/CHIRPS/DAILY
2001,12,carbon_project_zone,286.8357,UCSB-CHG/CHIRPS/DAILY
2002,1,carbon_project_zone,219.6791,UCSB-CHG/CHIRPS/DAILY
2002,2,carbon_project_zone,283.2041,UCSB-CHG/CHIRPS/DAILY
2002,3,carbon_project_zone,324.0536,UCSB-CHG/CHIRPS/DAILY
2002,4,carbon_project_zone,322.3841,UCSB-CHG/CHIRPS/DAILY
2002,5,carbon_project_zone,150.9961,UCSB-CHG/CHIRPS/DAILY
2002,6,carbon_project_zone,244.9864,UCSB-CHG/CHIRPS/DAILY
2002,7,carbon_project_zone,19.8751,UCSB-CHG/CHIRPS/DAILY
2002,8,carbon_project_zone,15.7178,UCSB-CHG/CHIRPS/DAILY
2002,9,carbon_project_zone,32.1175,UCSB-CHG/CHIRPS/DAILY
2002,10,carbon_project_zone,111.9531,UCSB-CHG/CHIRPS/DAILY
2002,11,carbon_project_zone,242.0451,UCSB-CHG/CHIRPS/DAILY
2002,12,carbon_project_zone,297.0658,UCSB-CHG/CHIRPS/DAILY
2003,1,carbon_project_zone,295.3354,UCSB-CHG/CHIRPS/DAILY
2003,2,carbon_project_zone,271.3751,UCSB-CHG/CHIRPS/DAILY
2003,3,carbon_project_zone,224.1688,UCSB-CHG/CHIRPS/DAILY
2003,4,carbon_project_zone,349.7238,UCSB-CHG/CHIRPS/DAILY
2003,5,carbon_project_zone,118.0558,UCSB-CHG/CHIRPS/DAILY
2003,6,carbon_project_zone,86.2241,UCSB-CHG/CHIRPS/DAILY
2003,7,carbon_project_zone,51.8052,UCSB-CHG/CHIRPS/DAILY
2003,8,carbon_project_zone,55.2715,UCSB-CHG/CHIRPS/DAILY
2003,9,carbon_project_zone,81.9131,UCSB-CHG/CHIRPS/DAILY
2003,10,carbon_project_zone,342.9876,UCSB-CHG/CHIRPS/DAILY
2003,11,carbon_project_zone,291.2708,UCSB-CHG/CHIRPS/DAILY
2003,12,carbon_project_zone,447.5838,UCSB-CHG/CHIRPS/DAILY
2004,1,carbon_project_zone,341.0501,UCSB-CHG/CHIRPS/DAILY
2004,2,carbon_project_zone,202.7175,UCSB-CHG/CHIRPS/DAILY
2004,3,carbon_project_zone,280.8702,UCSB-CHG/CHIRPS/DAILY
2004,4,carbon_project_zone,291.9680,UCSB-CHG/CHIRPS/DAILY
2004,5,carbon_project_zone,234.7605,UCSB-CHG/CHIRPS/DAILY
2004,6,carbon_project_zone,103.3725,UCSB-CHG/CHIRPS/DAILY
2004,7,carbon_project_zone,176.9102,UCSB-CHG/CHIRPS/DAILY
2004,8,carbon_project_zone,18.1177,UCSB-CHG/CHIRPS/DAILY
2004,9,carbon_project_zone,98.5118,UCSB-CHG/CHIRPS/DAILY
2004,10,carbon_project_zone,76.0183,UCSB-CHG/CHIRPS/DAILY
2004,11,carbon_project_zone,147.7489,UCSB-CHG/CHIRPS/DAILY
2004,12,carbon_project_zone,307.7944,UCSB-CHG/CHIRPS/DAILY
2005,1,carbon_project_zone,176.6420,UCSB-CHG/CHIRPS/DAILY
2005,2,carbon_project_zone,235.6231,UCSB-CHG/CHIRPS/DAILY
2005,3,carbon_project_zone,287.6937,UCSB-CHG/CHIRPS/DAILY
2005,4,carbon_project_zone,341.7300,UCSB-CHG/CHIRPS/DAILY
2005,5,carbon_project_zone,109.0956,UCSB-CHG/CHIRPS/DAILY
2005,6,carbon_project_zone,117.5196,UCSB-CHG/CHIRPS/DAILY
2005,7,carbon_project_zone,135.5939,UCSB-CHG/CHIRPS/DAILY
2005,8,carbon_project_zone,83.9792,UCSB-CHG/CHIRPS/DAILY
2005,9,carbon_project_zone,79.2231,UCSB-CHG/CHIRPS/DAILY
2005,10,carbon_project_zone,275.0393,UCSB-CHG/CHIRPS/DAILY
2005,11,carbon_project_zone,293.5418,UCSB-CHG/CHIRPS/DAILY
2005,12,carbon_project_zone,240.0982,UCSB-CHG/CHIRPS/DAILY
2006,1,carbon_project_zone,293.5103,UCSB-CHG/CHIRPS/DAILY
2006,2,carbon_project_zone,288.1299,UCSB-CHG/CHIRPS/DAILY
2006,3,carbon_project_zone,342.7955,UCSB-CHG/CHIRPS/DAILY
2006,4,carbon_project_zone,252.8961,UCSB-CHG/CHIRPS/DAILY
2006,5,carbon_project_zone,277.2004,UCSB-CHG/CHIRPS/DAILY
2006,6,carbon_project_zone,333.9995,UCSB-CHG/CHIRPS/DAILY
2006,7,carbon_project_zone,28.3361,UCSB-CHG/CHIRPS/DAILY
2006,8,carbon_project_zone,18.7735,UCSB-CHG/CHIRPS/DAILY
2006,9,carbon_project_zone,48.5257,UCSB-CHG/CHIRPS/DAILY
2006,10,carbon_project_zone,19.5682,UCSB-CHG/CHIRPS/DAILY
2006,11,carbon_project_zone,213.3604,UCSB-CHG/CHIRPS/DAILY
2006,12,carbon_project_zone,370.0290,UCSB-CHG/CHIRPS/DAILY
2007,1,carbon_project_zone,187.9665,UCSB-CHG/CHIRPS/DAILY
2007,2,carbon_project_zone,271.3323,UCSB-CHG/CHIRPS/DAILY
2007,3,carbon_project_zone,315.8862,UCSB-CHG/CHIRPS/DAILY
2007,4,carbon_project_zone,336.0991,UCSB-CHG/CHIRPS/DAILY
2007,5,carbon_project_zone,226.2308,UCSB-CHG/CHIRPS/DAILY
2007,6,carbon_project_zone,278.8826,UCSB-CHG/CHIRPS/DAILY
2007,7,carbon_project_zone,277.4801,UCSB-CHG/CHIRPS/DAILY
2007,8,carbon_project_zone,142.7067,UCSB-CHG/CHIRPS/DAILY
2007,9,carbon_project_zone,72.5419,UCSB-CHG/CHIRPS/DAILY
2007,10,carbon_project_zone,272.4928,UCSB-CHG/CHIRPS/DAILY
2007,11,carbon_project_zone,191.6306,UCSB-CHG/CHIRPS/DAILY
2007,12,carbon_project_zone,308.6675,UCSB-CHG/CHIRPS/DAILY
2008,1,carbon_project_zone,216.1639,UCSB-CHG/CHIRPS/DAILY
2008,2,carbon_project_zone,297.6197,UCSB-CHG/CHIRPS/DAILY
2008,3,carbon_project_zone,400.0219,UCSB-CHG/CHIRPS/DAILY
2008,4,carbon_project_zone,260.2329,UCSB-CHG/CHIRPS/DAILY
2008,5,carbon_project_zone,180.4280,UCSB-CHG/CHIRPS/DAILY
