month,day,scope,normal_mean_mm,normal_std_mm,p10_mm,p25_mm,median_mm,p75_mm,p90_mm,n_years
6,24,project_area,6.220308389795947,11.695808616299372,0.0,0.0,0.0,6.884907301842524,24.864829511873896,30
6,25,carbon_project_zone,5.468449438245874,10.726925298868833,0.0,0.0,0.0,5.7424760342335235,23.140675213386462,30
6,25,project_area,5.203339787018135,10.349155968883158,0.0,0.0,0.0,5.252877639511884,21.520705070811537,30
6,26,carbon_project_zone,7.304808168805549,9.558355964453535,0.0,0.0,2.345690982504141,12.11053008853554,21.457207642705562,30
6,26,project_area,7.169553283461559,9.270734420799078,0.0,0.0,1.4033966275227638,12.8420442910334,21.530726732752175,30
6,27,carbon_project_zone,5.563949330620916,8.014303974144882,0.0,0.0,0.41333909423200427,10.63766875061277,19.25270014234526,30
6,27,project_area,5.6608084720483385,8.353282712664067,0.0,0.0,0.0,11.084991620758831,19.37713241613885,30
6,28,carbon_project_zone,6.181826817323343,9.666003072254838,0.0,0.0,0.0,9.453034118914292,19.639208764466392,30
6,28,project_area,6.624478549092747,9.956325828296823,0.0,0.0,0.0,11.37186533956572,21.97651321641837,30
6,29,carbon_project_zone,3.307620736990024,6.761959235916967,0.0,0.0,0.0,1.4078078663036302,14.182819139168584,30
6,29,project_area,3.5002984085692836,7.155443636518542,0.0,0.0,0.0,2.038172350091449,13.971028469192962,30
6,30,carbon_project_zone,6.378919962724932,13.167335374014908,0.0,0.0,0.0,6.7852032688999495,23.18785442766255,30
6,30,project_area,6.608149076270395,13.947903564470282,0.0,0.0,0.0,6.016798125393402,23.99909019139588,30
7,1,carbon_project_zone,3.7895135159308997,7.506962050937849,0.0,0.0,0.002984625650976153,2.039915340416214,13.495214447040826,30
7,1,project_area,4.2860761046103475,8.738883542997685,0.0,0.0,0.0,2.1677937584775626,15.32621934546161,30
7,2,carbon_project_zone,5.248683551072704,11.356223640779579,0.0,0.0,0.2548034401489636,3.7474719391719784,17.223553201691995,30
7,2,project_area,5.1669579976389945,11.773453976660862,0.0,0.0,0.09777675364711802,3.702059882447606,18.632481967906926,30
7,3,carbon_project_zone,8.589161643411638,16.069052404224227,0.0,0.0,0.0,12.015785331926452,26.67325102444183,30
7,3,project_area,8.765223104891314,16.912253212740314,0.0,0.0,0.0,11.84964111883578,27.338777841147735,30
7,4,carbon_project_zone,5.247280469145078,8.396569676635819,0.0,0.0,0.20449021106909446,7.314549748092589,16.63543876488799,30
7,4,project_area,5.187749058911294,8.578925344310889,0.0,0.0,0.06053109547390226,7.514402787380482,16.168327609820434,30
7,5,carbon_project_zone,6.925006783888906,12.45770501053163,0.0,0.0,0.3369400830703395,7.586441987725084,23.112908153751967,30
7,5,project_area,6.917098444195117,12.88043667578566,0.0,0.0,0.2631582866648129,9.392954140855647,22.027146587937565,30
7,6,carbon_project_zone,4.001320937237979,6.329041275426863,0.0,0.0,0.0,6.494469019856511,14.713645898361094,30
7,6,project_area,3.947094744982693,6.309231343290953,0.0,0.0,0.0,7.826140646574495,14.36337869248148,30
7,7,carbon_project_zone,3.2646114648959097,6.839285350584336,0.0,0.0,0.0,2.5694453107084247,14.197503089386567,30
7,7,project_area,3.375917333508371,6.999644208573492,0.0,0.0,0.0,3.176035690013726,15.344056126424821,30
7,8,carbon_project_zone,3.003087526807742,5.524961285350882,0.0,0.0,0.0,3.2635928329456423,12.02039497174266,30
7,8,project_area,3.049760912042676,5.393519081962199,0.0,0.0,0.0,4.156282668855782,12.047320267085116,30
7,9,carbon_project_zone,3.9447836931380817,8.751633932410046,0.0,0.0,0.0,2.656019263328167,12.536230595056951,30
7,9,project_area,4.278827187290361,9.718787928967373,0.0,0.0,0.0,3.8218157206918866,12.367136684790232,30
7,10,carbon_project_zone,5.21343567312861,7.629088488383258,0.0,0.0,0.7857515080849188,7.078410947904401,17.911929930720888,30
7,10,project_area,5.0748674291507,7.355159755447465,0.0,0.0,0.8121774349769202,7.788136872745626,18.410683804098376,30
7,11,carbon_project_zone,4.9478264191962795,8.44076014279981,0.0,0.0,0.0,8.065174380624724,12.57643792998136,30
7,11,project_area,4.971099700447714,8.692604657846662,0.0,0.0,0.0,7.5872259779226265,13.405612134602844,30
7,12,carbon_project_zone,6.5650995851873795,8.597304508800418,0.0,0.0,0.7853492705109153,13.143264396891961,22.172863698662088,30
7,12,project_area,6.329903939142862,8.376699416632054,0.0,0.0,0.8115215948302132,12.224114641386484,21.773464706719203,30
7,13,carbon_project_zone,7.02787142575974,9.663687171091935,0.0,0.0,0.3286005106933487,16.74572446983115,22.853315160117504,30
7,13,project_area,7.12207530607734,9.722580111712462,0.0,0.0,0.1517718672201336,17.646185823875506,23.194298677892643,30
7,14,carbon_project_zone,4.648150455475697,8.792693648411595,0.0,0.0,0.0,4.773603058114678,22.98332359318264,30
7,14,project_area,4.5179786264284125,8.758307450355701,0.0,0.0,0.0,4.911748915864801,21.943119800880623,30
7,15,carbon_project_zone,2.9492982071724154,5.990514463552707,0.0,0.0,0.0,4.440626009058364,6.944382673683344,30
7,15,project_area,3.006528787822312,5.9691229444845275,0.0,0.0,0.0,4.657310746483883,6.644919237939895,30
7,16,carbon_project_zone,3.919795275226164,7.536526301024941,0.0,0.0,0.0,3.071696572479582,16.73327869997376,30
7,16,project_area,4.12737512766519,7.779784627216202,0.0,0.0,0.0,3.8331500683065918,16.104181922088237,30
7,17,carbon_project_zone,4.481135573118055,10.120712915839844,0.0,0.0,0.0,1.3118609923745215,21.064232993981932,30
7,17,project_area,4.3170289467589695,9.727594539862553,0.0,0.0,0.0,1.6391564987840934,20.63239303153175,30
7,18,carbon_project_zone,4.1526314259707835,7.549733642987108,0.0,0.0,0.007960710754296262,4.375498280396996,18.13001093216093,30
