date,scope,period,rainfall_accum_mm,spi,spi_status,source
1997-12-01,project_area,SPI-6,655.7690,-1.7198,severe_drought,CHIRPS v2 Final
1998-12-01,project_area,SPI-6,1565.8606,1.0027,wet,CHIRPS v2 Final
1999-12-01,project_area,SPI-6,1539.5532,0.9419,normal,CHIRPS v2 Final
2000-12-01,project_area,SPI-6,1404.3980,0.6180,normal,CHIRPS v2 Final
2001-12-01,project_area,SPI-6,1283.6608,0.3109,normal,CHIRPS v2 Final
2002-12-01,project_area,SPI-6,730.8700,-1.4202,moderate_dry,CHIRPS v2 Final
2003-12-01,project_area,SPI-6,1273.3350,0.2838,normal,CHIRPS v2 Final
2004-12-01,project_area,SPI-6,821.9373,-1.0844,moderate_dry,CHIRPS v2 Final
2005-12-01,project_area,SPI-6,1120.5098,-0.1362,normal,CHIRPS v2 Final
2006-12-01,project_area,SPI-6,705.9265,-1.5172,severe_drought,CHIRPS v2 Final
2007-12-01,project_area,SPI-6,1275.7793,0.2902,normal,CHIRPS v2 Final
2008-12-01,project_area,SPI-6,1632.5470,1.1540,wet,CHIRPS v2 Final
2009-12-01,project_area,SPI-6,990.1750,-0.5259,normal,CHIRPS v2 Final
2010-12-01,project_area,SPI-6,2209.2224,2.3210,extremely_wet,CHIRPS v2 Final
2011-12-01,project_area,SPI-6,1566.5468,1.0043,wet,CHIRPS v2 Final
2012-12-01,project_area,SPI-6,1207.1362,0.1062,normal,CHIRPS v2 Final
2013-12-01,project_area,SPI-6,1159.2709,-0.0262,normal,CHIRPS v2 Final
2014-12-01,project_area,SPI-6,797.2825,-1.1727,moderate_dry,CHIRPS v2 Final
2015-12-01,project_area,SPI-6,731.5986,-1.4174,moderate_dry,CHIRPS v2 Final
2016-12-01,project_area,SPI-6,1510.2314,0.8732,normal,CHIRPS v2 Final
2017-12-01,project_area,SPI-6,1228.6228,0.1646,normal,CHIRPS v2 Final
2018-12-01,project_area,SPI-6,893.9616,-0.8366,normal,CHIRPS v2 Final
2019-12-01,project_area,SPI-6,647.5880,-1.7538,severe_drought,CHIRPS v2 Final
2020-12-01,project_area,SPI-6,1390.5969,0.5838,normal,CHIRPS v2 Final
2021-12-01,project_area,SPI-6,1682.1161,1.2639,wet,CHIRPS v2 Final
2022-12-01,project_area,SPI-6,1761.8784,1.4364,wet,CHIRPS v2 Final
2023-12-01,project_area,SPI-6,945.5904,-0.6672,normal,CHIRPS v2 Final
2024-12-01,project_area,SPI-6,1238.1309,0.1902,normal,CHIRPS v2 Final
2025-12-01,project_area,SPI-6,1705.0111,1.3139,wet,CHIRPS v2 Final
